Category,Sub Category,Question,answer A,Answer B,Answer C,Answer D,correct answer,Difficulty,Last used,Frequency,Reg  or TT
Q&A,Literature,Who landed on Timor Island after being cast adrift ,,,,,Captain Bligh,2,,,Reg
Q&A,Literature,What was the first James Bond book,,,,,Casino Royal,1,,,Reg
Q&A,Literature,"“If you really want to hear about it, the first thing you'll probably want to know is where I was born, and what my lousy childhood was like, …",,,,,Catcher in the Rye,2,,,Reg
Q&A,Literature,Who created the children's land of Narnia and Lion Witch Wardrobe Clive Staples Lewis,,,,,CS Lewis,2,,,Reg
Q&A,Literature,Who wrote the Thin Man in 1934 (both names) ,,,,,Dashiell Hammett,3,,,Reg
Q&A,Literature,Jeff Kinney wrote and illustrated which series of books about Greg Heffley and his family and friends?,,,,,Diary of a Wimpy Kid,2,,,Reg
Q&A,Literature,To which London club did Mycroft Holmes belong,,,,,Diogones,2,,,Reg
Q&A,Literature,Who in books and films was the man of bronze,,,,,Doc Savage,2,,,Reg
Q&A,Literature,Who created Tarzan (all names) in 1914,,,,,Edgar Rice Burroughs,2,,,Reg
Q&A,Literature,Mrs Darell Waters (translated 128 languages) pen name,,,,,Edith Blyton,2,,,Reg
Q&A,Mythology,Who ran through the streets naked crying,,,,,Eureka Archimedes,2,,,Reg
Q&A,Language,What is ikebana,,,,,Flower Arranging,2,,,Reg
Q&A,Music,Which classical composer wrote the Hungarian Rhapsody,,,,,Frank Liszt,2,,,Reg
Q&A,"if you build it, they will come ","It is incorrect to refer to grotesque carved beasts on buildings as these, unless they drain water",,,,,Gargoyles,2,,,Reg
Q&A,Literature,The SciFi award the Hugo is named after Hugo who?,,,,,Gernsbeck,2,,,Reg
Q&A,Literature,Where did the Pied Piper play,,,,,Hamlin,2,,,Reg
Q&A,Literature,Which famous literary character lived at 4 Privet Drive?,,,,,Harry Potter,2,,,Reg
Q&A,Literature,Who wrote the book Billy Budd also Moby Dick,,,,,Herman Melville,2,,,Reg
Q&A,Mythology,Who was the son of Zeus and Maia ,,,,,Hermes,2,,,Reg
Q&A,Literature,Who wrote The History of Mr Polly ,,,,,HG Wells,2,,,Reg
Q&A,Literature,Who wrote Northanger Abbey,,,,,Jane Austen,2,,,Reg
Q&A,Music,Who composed the Brandeberg concertos full names,,,,,Johan Sebastian Bach,2,,,Reg
Q&A,Literature,Who wrote the 39 steps (both names),,,,,John Buchan,2,,,Reg
Q&A,Painters,Who painted The Haywain,,,,,John Constable,2,,,Reg
Q&A,Young Adult,“Looking for Alaska” was the first novel published by this author of “The Fault in our Stars?”,,,,,John Green,2,,,Reg
Q&A,Religion,In the Old Testament what book comes between Obadiah - Micah,,,,,Jonah,2,,,Reg
Q&A,Literature,Who wrote Catch 22 (both names) ,,,,,Joseph Heller,2,,,Reg
Q&A,Literature,What other name is Mellor's know by,,,,,Lady Chatterley's Lover,2,,,Reg
Q&A,Music,Paul Robeson the singer of old man river had what profession,,,,,Lawyer,2,,,Reg
Q&A,Literature,What was Casanovas day job,,,,,Librarian,2,,,Reg
Q&A,Nursery Rhymes,In the nursery rhyme what is Fridays child,,,,,Loving and Giving,2,,,Reg
Q&A,Literature,Which eponymous character was Thane of Cawder Glaimes,,,,,Macbeth,2,,,Reg
Q&A,Literature,Who wrote Gone With The Wind,,,,,Margaret Mitchell,1,,,Reg
Q&A,Literature,"Who wrote the novel Jurassic Park, published in 1990?",,,,,Michael Crichton,1,,,Reg
Q&A,Shakespear,Star-crossed lovers from two families.  Give us the surnames of Romeo and Juliet.,,,,,Montague and Capulet,1,,,Reg
Q&A,Literature,What was Charles Dickens last (unfinished) novel,,,,,Mystery of Edwin Drood,2,,,Reg
Q&A,Literature,Whose autobiography was The long walk to Freedom,,,,,Nelson Mandela,1,,,Reg
Q&A,Mythology,What nationality is Thor Heyerdahl ,,,,,Norwegian ,2,,,Reg
Q&A,Mythology,Jocasta was the wife of Laius and the mother of who ,,,,,Oedipus,2,,,Reg
Q&A,Painters,Which Spanish painter had his first exhibition at 16 -,,,,,Pablo Picasso,2,,,Reg
Q&A,Literature,What is the name of Captain Ahab's ship,,,,,Peaquod,1,,,Reg
Q&A,Mythology,In Greek mythology who killed the Gorgon,,,,,Perseus,2,,,Reg
Q&A,Music,Vladamere Ashkenazy plays what musical instrument ,,,,,Piano,2,,,Reg
Q&A,Kids,What did Jack Horner pull from his Pie,,,,,Plum,1,,,Reg
Q&A,Young Adult,Katniss Everdeen volunteered as tribute to save her sister from participating in the Hunger Games. What was her sister’s name?,,,,,Primrose,1,,,Reg
Q&A,Literature,De Witt Wallace founded what ,,,,,Readers Digest,2,,,Reg
Q&A,Literature,Who wrote about Willie Wonka and the Chocolate Factory,,,,,Roald Dahl,1,,,Reg
Q&A,Literature,In the Winnie the Pooh stories what is Kanga’s baby called,,,,,Roo,1,,,Reg
Q&A,Literature,Which author created Fu Manchu,,,,,Sax Rohmer,2,,,Reg
Q&A,Religion,What did God create on the fifth day (both),,,,,Sea Creatures and Birds,1,,,Reg
Q&A,Literature,Who are the two most translated English writers,,,,,Shakespeare/Agatha Christie,1,,,Reg
Q&A,Philosophy,Which Athenian philosopher wrote nothing - immortalised by Plato,,,,,Socrates,2,,,Reg
Q&A,Mythology,Which mythological King chained grapes rose water fell,,,,,Tantalus,2,,,Reg
Q&A,Literature,What was the name of the plantation in Gone with the Wind,,,,,Tara,2,,,Reg
Q&A,Literature,What is the first name of Mr Toad - in Toad of Toad Hall,,,,,Thaddeus,2,,,Reg
Q&A,Literature,What was the name of the inn in Treasure Island,,,,,The Admiral Benbow,2,,,Reg
Q&A,Nursery Rhymes,"Urban legend states ""Ring around the rosies"" refers to this",,,,,The Black Death/Plague,1,,,Reg
Q&A,Young Adult,Brothers Frank and Joe were the title characters of which long-running detective series?,,,,,The Hardy Boys,1,,,Reg
Q&A,Kids,Who killed Cock Robin,,,,,The Sparrow,2,,,Reg
Q&A,Shakespear,The Broadway musical “Kiss Me Kate” is based upon which of Shakespeare’s comedies?,,,,,The Taming of the Shrew,2,,,Reg
Q&A,Literature,Who wrote The Rights of Man - and The Age of Reason,,,,,Thomas Paine,2,,,Reg
Q&A,Mythology,In Greek mythology a Hamadryads spirit guarded what,,,,,Trees,2,,,Reg
Q&A,Mythology,Who was the son of Poseidon and Ampherite ,,,,,Triton,2,,,Reg
Q&A,Literature,Who wrote Les Miserable ,,,,,Victor Huga,1,,,Reg
Q&A,Literature,Agrippa poisoned her husband/uncle who was he,,,,,Claudius,2,,,Reg
Q&A,Literature,30 What shape were the sailors plates in Nelsons navy,,,,,Square,2,,,Reg
Q&A,terms,An octothorpe is the technical term for what symbol?,,,,,hashtag,1,12/28/2020,,Reg
Q&A,superhero,What superhuman was born with the curse of Kordax?,,,,,Aquaman,2,7/19/2021,1,Reg
Q&A,Broadway,In 2013 this musical based on a movie became the first show to gross $1 Billion on Broadway?,,,,,Lion King,1,5/27/2015,1,Reg
Q&A,Movies,"What is Shawshank, in the movie The Shawshank Redemption?",,,,,Prison,1,11/26/2018,1,Reg
Q&A,Movies,In the film reindeer games how did the gang of thieves dress to rob a casino?,,,,,Santa Outfits,2,4/24/2022,1,Reg
Q&A,Holiday,The night before Thanksgiving is sometimes called the biggest night of the year for bars & partying. What nickname is it given?,,,,,Blackout Wednesday,1,11/27/2018,1,Reg
Q&A,Animals,What is the name for the offspring of a male lion and a female tiger?,,,,,Liger,1,11/27/2018,1,Reg
Q&A,Food,Which war introduced U.S. soldiers to French Fries,,,,,WWI,1,11/27/2018,1,Reg
Q&A,Geography,Olympia is the capital city of which U.S. state?,,,,,Washington,1,11/28/2018,1,Reg
Q&A,TV,Which 1970’s TV character would cost approximately 28 million dollars at today’s value,,,,,6 million dollar man,1,4/24/2022,1,Reg
Q&A,Music,"True or False, Poker face won the Grammy of the year in 2010?",,,,,"False, it was Single Ladies",2,11/29/2018,1,Reg
Q&A,TV,Which Teletubby shares its name with Kung Fu Panda?,,,,,Po,2,11/29/2018,1,Reg
Q&A,Music,Taco had this #4 hit in 1983 – Puttin’ on the what?,,,,,Puttin' on the Ritz,1,11/29/2018,1,Reg
Q&A,TV,What was the name of the Russian officer on the original Star Trek Show?,,,,,Chekov,2,2/28/2022,3,Reg
Q&A,People,Was Christian Science or the Salvation army founded by Mary Baker Eddy?,,,,,Christian Science,1,12/6/2018,3,Reg
Q&A,Movies,What is the name of the clown in the movie “It”,,,,,Pennywise,1,12/6/2018,2,Reg
Q&A,TV,Back in the 70’s these man who admired fine Corinthian leather was the 1st Hispanic TV spokesperson?,,,,,Ricardo Montalban,1,12/6/2018,1,Reg
Q&A,Movies,What distracts the dogs in Pixar’s “Up”?,,,,,Squirrel,2,12/6/2018,2,Reg
Q&A,Businesses,"As of 2022, are there any Blockbuster stores open?",,,,,"Yes, 1",2,12/6/2018,2,Reg
Q&A,Movies,"more regenerated dinosaurs were on the prowl in this bestselling follow-up to ""Jurassic Park""",,,,,the lost world,1,12/10/2018,1,Reg
Q&A,Movies,in the film Monsters Inc. what powers Monstropolis?,,,,,human children screams,2,12/11/2018,1,Reg
Q&A,Movies,"Who co-wrote, directed and starred in 2003’s Head of State?",,,,,Chris Rock,2,12/13/2018,2,Reg
Q&A,Food,"From Hebrew national's line of sliced lunchmeats, this one that's drier than bologna.",,,,,Salami,1,2/28/2022,1,Reg
Q&A,Literature,4 friends share the stories of their adventures through the medium of a pair of jeans in this 2001 book?,,,,,Sisterhood of the Traveling Pants,1,12/18/2018,1,Reg
Q&A,Holiday,What was the name of the prospector in Rudolph and what was the Creature that he was afraid of finding? 1 pt a piece,,,,,"Yukon Cornelius,
The Bumble",2,12/20/2018,1,Reg
Q&A,movies,"In the film version of ‘Fifty Shades of Grey’, which actor plays the role of Christian Grey?",,,,,Jamie Dornan,2,12/27/2018,2,Reg
Q&A,tv,What’s Bugs Bunnies catchphrase?,,,,,What’s up Doc?,1,12/27/2018,1,Reg
Q&A,movies,Who played Owen Grady in Jurassic World?,,,,,Chris Pratt,1,3/21/2022,1,Reg
Q&A,General,What was Hugh Hefner's jet plane called?,Pink Rabbit,The Centerfold,Big Bunny,Playmate Passport,Big Bunny,2,2/26/2019,2,Reg
Q&A,movies,Who played Gale in the Hunger Games movie series?,,,,,Liam Hemsworth,2,03/14/2022,2,Reg
Q&A,tv,"When the MTV dating game show ""Singled Out"" debuted in 1995, who shared co-hosting duties alongside Jenny McCarthy?",,,,,"Chris Hardwick
(You know from the “Talking Dead”)",3,4/7/2019,1,Reg
Q&A,tv,"What type of animal was elementary school's mascot on ""South Park""? Dogs, Cows, or Pigs",Dogs,Cows,Pigs,Cats,Cows,2,4/10/2019,1,Reg
Q&A,superheros,What's the name of the newspaper Peter Parker works for?,,,,,Daily Bugle,1,4/24/2019,2,Reg
Q&A,movies,Which of the Seven Dwarfs wears glasses?,Bashful,Grumpy,Dopey ,Doc,Doc,1,5/7/2019,2,Reg
Q&A,Movies,Who plays Jack Ryan in the 2002 American spy thriller “The Sum of all Fears”?,,,,,Ben Affleck,2,10/31/2019,3,Reg
Q&A,Toys,"What is Barbie’s boyfriend, Ken’s last name?",Carson,Doll,,,Carson,2,11/18/2019,2,Reg
Q&A,TV,What sitcom character moved from a Boston barstool to a Seattle radio station?,,,,,Dr. Frasier Crane.,1,5/31/2022,2,Reg
Q&A,Music,Wat band sang that “surprises let me know she cares” in “All the Small Things”?,,,,,Blink 182,1,12/19/2019,2,Reg
Q&A,TV,"Which basketball team does Ross, Joey, and Chandler support on Friends?",,,,,Knicks,1,7/21/2022,3,Reg
Q&A,Movies,Say the name of this ghost with the most 3 times and he’ll show up to exorcise the living?,,,,,Beetlejuice,1,5/24/2022c,1,Reg
Q&A,Music,"She sang back-up on Don Henley’s, “the end of the innocence” before her own hit “come to my window”?",,,,,Melisa Ethridge,2,12/29/2019,1,Reg
Q&A,Games,How many checkers does each player start with in a standard game of checkers?,,,,,12,1,12/30/2019,3,Reg
Q&A,Magicians,What was Eric Weiss better known as,,,,,Harry Houdini,1,12/30/2019,2,Reg
Q&A,Movies,Pizza hut was the villain in which sci-fi spoof?,,,,,Spaceballs,2,12/30/2019,4,Reg
Q&A,Superheros,Barry Allen was the alter ego of which DC comic superhero,,,,,The Flash,1,5/24/2022c,3,Reg
Q&A,Movies,What is the name of Shrek’s wife name?,,,,,Princess Fiona,1,12/30/2019,2,Reg
Q&A,Music,Bootylicious has become an accepted word in the Oxford Dictionary thanks to a track of the same name by which artist(s)?,,,,,Destiny's Child,1,1/2/2020,2,Reg
Q&A,Currency,"Sesame Street may have taught you which President is on the United States 1,000 dollar bill.",,,,,Grover Cleveland,2,1/2/2020,2,Reg
Q&A,Movies,"The series ""Cobra Kai"" is based on which classic 1980's movie?",,,,,Karate Kid,1,1/2/2020,2,Reg
Q&A,Superheros,"Which “Deadpool” actor provided the voice of Pikachu in the 2019 ""Pokémon: Detective Pikachu"" movie?",,,,,Ryan Reynolds,1,1/2/2020,1,Reg
Q&A,Superheros,In the Superman movies what newspaper does Clark Kent Work for?,,,,,The Daily Planet,1,1/2/2020,2,Reg
Q&A,Movies,Name the Oscar winning actress who kicks butt with Keanu Reeves in John Wick 3,,,,,Halle Barry,2,1/5/2020,1,Reg
Q&A,Movies,"The 2007 animated film, Ratatouille featured a rodent who dreams of becoming a French chef. What is his name?",,,,,Remy,2,4/6/2022,1,Reg
Q&A,Music,"Released in 1978, which late Pop artist played 27 instruments on his debut album?",,,,,Prince,1,1/6/2020,2,Reg
Q&A,Food,"What do you call the rotating rod a ""rotisserie"" item is cooked on?",,,,,Skewer or Spit,1,1/6/2020,2,Reg
Q&A,Food,What are the names of the Rice Krispies elves?,,,,,"Snap, Crackle and Pop",1,1/6/2020,2,Reg
Q&A,Music,What did the Supremes sing about hearing in 1965?,,,,,Symphony,2,1/6/2020,2,Reg
Q&A,TV,On “In living color” this Damon Wayans clown don’t play that?,,,,,“Homey the clown”,1,1/7/2020,1,Reg
Q&A,Music,This Beatles song is named for a Salvation army children’s home in Liverpool?,,,,,Strawberry fields forever,2,1/7/2020,1,Reg
Q&A,Music,"In 1973 this brother & sister duo were on top of the charts with, “top of the world??",,,,,The Carpenters,2,1/7/2020,1,Reg
Q&A,Movies,Which actor plays the superhero “Thor”,,,,,Chris Hemsworth,1,1/13/2020,2,Reg
Q&A,Movies,In the 2008 superhero film The Dark Knight which actor played the character Batman?,,,,,Christian Bale,1,10/19/2020,1,Reg
Q&A,General,"A small spot on the skin, or a spy?",,,,,mole,1,11/2/2020,1,Reg
Q&A,TV,What Network Premiered Games of Thrones premier in 2011?,,,,,HBO,1,12/28/2020,1,Reg
Q&A,TV,What actor played the captain of the USS Enterprise in the Star Trek: Next Generation tv series,,,,,Patrick Stewart,1,12/28/2020,1,Reg
Q&A,Movies,For what movie did Steven Spielberg win his first Oscar for Best Director?,,,,,Schindler’s List,2,4/26/2022,1,Reg
Q&A,Food,What is the common name of farfalle pasta that looks like a piece of clothing?,,,,,Bow-tie,1,1/1/2021,1,Reg
Q&A,Movies,"In the movie babe, what animal was Babe?",,,,,Pig,1,1/1/2021,1,Reg
Q&A,Movies,Who starred as Mr. Rogers in It’s a Beautiful Day In The Neighborhood?,,,,,Tom Hanks,1,1/1/2021,1,Reg
Q&A,General,"In a theater, the mezzanine is this lowest one?",,,,,balcony,1,1/15/2021,1,Reg
Q&A,TV,"Which 1990s TV comedy show launched the careers of Jamie Foxx, Jim Carrey, and Jennifer Lopez?",,,,,In Living Color,2,1/15/2021,1,Reg
Q&A,TV,What item from the set of all in the family can be found at the Smithsonian?,,,,,Archie's Chair,1,3/8/2021,1,Reg
Q&A,Literature,"""The Time Of My Life"" is the memoir this late actor wrote with his wife Lisa Niemi",,,,,Patrick Swayze,1,3/17/2021,1,Reg
Q&A,TV,"""Big bucks, no whammies!"" was a catchphrase on this game show",,,,,Press your luck,1,3/20/2021,1,Reg
Q&A,Stars,"Jenny McCarthy was chosen as Playmate of the Year in '94, one year after this late reality star?",,,,,Anna Nicole Smith,1,3/21/2021,2,Reg
Q&A,Games,Nintendo's first coin-op arcade game was a version of what board game also known as reversi?,,,,,Othello,2,4/12/2021,2,Reg
Q&A,Geography,"Originating in Germany, the Danube River empties into what colorful sea?",,,,,the Black Sea,2,4/29/2021,1,Reg
Q&A,History,Which of these countries remained neutral during WWII?,Germany,Poland,Switzerland,Italy,Switzerland,2,5/22/2021,2,Reg
Q&A,Sports,"“Believe in something, even if it means sacrificing everything” is a Nike advertisement associated with what former NFL player?",,,,,Colin Kaepernick,2,5/22/2021,2,Reg
Q&A,Science,"Known for his contributions to the science of evolution, he studied barnacles for 8 years",,,,,Darwin,1,5/22/2021,2,Reg
Q&A,TV,What was Christina Applegate’s character name on Married with Children?,,,,,Kelly Bundy,1,5/22/2021,1,Reg
Q&A,TV,Which former Star Trek actor became the spokesperson for a successful travel planning website?,,,,,William Shatner,1,5/22/2021,2,Reg
Q&A,Movies,What late “Enter the Dragon” star would have been age 32 at the film’s Hong Kong premiere?,,,,,Bruce Lee,1,5/23/2021,2,Reg
Q&A,Games,"What game title is Swahili for ""build.""",,,,,Jenga,1,5/23/2021,2,Reg
Q&A,TV,"Which Nickelodeon adventurer grew quickly from seven to ten years old, and moved to the city in a spin-off in 2014?",,,,,Dora the Explorer,2,6/10/2021,2,Reg
Q&A,Movies,who stars as an english teacher in dead poets society,,,,,Robin Williams,1,6/10/2021,1,Reg
Q&A,Movies,How did Carol Ann connect with the supernatural in poltergeist?,,,,,TV,1,6/10/2021,1,Reg
Q&A,TV,Friends ended in May 2004 after how many seasons?,,,,,Ten,2,6/30/2021,1,Reg
Q&A,Movies,"In what Cult film would you hear the line; ""Do you know what they call a Quarter Pounder with cheese in France?""",,,,,Pulp Fiction,1,7/21/2021,1,Reg
Q&A,TV,This 70’s hit came back with 2 movies that transplanted America’s favorite blended family into the 90’s,,,,,The Brady Bunch,1,7/21/2021,1,Reg
Q&A,Music,Dwight Meyers was the birth name of which rapper. He was Livin’ large until his death is 2011,,,,,Heavy D,2,7/21/2021,2,Reg
Q&A,Movies,In Pee-Wee’s big adventure what gets stolen to start his adventure?,,,,,His Bike,1,7/22/2021,1,Reg
Q&A,Movies,"Samuel L. Jackson sports what color hair in ""Jumper""?",,,,,White,2,7/22/2021,,Reg
Q&A,Movies,What 1988 Action movie masterpiece has been at the center of debate regarding its status as a Christmas movie?,,,,,Die Hard,1,07/31/2021,1,Reg
Q&A,Geography,Where would you find the Rock and roll hall of fame?,,,,,Cleveland,1,08/05/2021,1,Reg
Q&A,Movies,What is the last thing the camera zooms in on at the end of the film Inception.,,,,,Spinning Top,2,08/05/2021,1,Reg
Q&A,Movies,Who plays Clark Griswold in National Lampoons Christmas vacation?,,,,,Chevy Chase,1,08/05/2021,1,Reg
Q&A,Business,"Like the Banana Republic, Old Navy is owned by this company?",,,,,The Gap,1,08/05/2021,1,Reg
Q&A,Movies,Which 2 actors were featured in the Original film the odd couple?,,,,,Jack Lemmon and Walter Matthau,1,08/05/2021,1,Reg
Q&A,Superheros,a hoodie wearing unbreakable ex-con fights to clear his name and save his neighborhood as this marvel superhero?,,,,,Luke Cage,2,08/05/2021,1,Reg
Q&A,Movies,Which former child star directed the 2000 live action remake of how the Grinch stole Christmas?,,,,,Ron Howard,2,08/06/2021,1,Reg
Q&A,Geography,Boulder Dam was the original name of what?,,,,,Hoover Dam,1,08/06/2021,1,Reg
Q&A,Movies,"What type of planet is Hoth, in Star Wars Episode V, The Empire Strikes Back",,,,,Ice,2,08/06/2021,1,Reg
Q&A,Sports,What is called when a player scores two goals in a game of soccer?,,,,,Brace,2,08/07/21,1,Reg
Q&A,Movies,Who sang the theme song for The 1984 Ghostbusters film,,,,,Ray Parker Jr.,2,08/07/21,1,Reg
Q&A,Movies,"What popular Disney movie is set near Salem, Massachusetts in the years 1693 and 1993?",,,,,Hocus Pocus,1,8/11/2021,1,Reg
Q&A,Movies,What Country music superstar played an abusive alcoholic daddy in Friday Night Lights?,,,,,Tim McGraw,2,8/11/2021,1,Reg
Q&A,TV,Who was the first actor to portray James Bond in 1957's television series of Casino Royale?,,,,,Barry Nelson,2,8/11/2021,1,Reg
Q&A,Movies,"Who was put on trial in the movie, Miracle on 34th Street",,,,,Kris Kringle,1,8/11/2021,1,Reg
Q&A,Disney,Who was the original voice of Mickey Mouse?,,,,,Walt Disney,1,8/16/2021,1,Reg
Q&A,Music,Who had a country crossover hit in the 90’s titled “How do I live?,,,,,Leann Rimes,2,9/25/2021,1,Reg
Q&A,Disney,"Which Disney Princess sings, Someday my Prince will come”?",,,,,Snow White,2,9/25/2021,1,Reg
Q&A,TV,What was the first U.S. sitcom to be exported to Britain? I love Lucy or Dick Van Dyke?,,,,,I Love Lucy,2,9/25/2021,1,Reg
Q&A,Literature,What 3 words best describe the Grinch,,,,,"Stink, Stank, Stunk",2,9/25/2021,1,Reg
Q&A,TV,The Children’s TV character Prince Adam of Eternia is better known by what name?,,,,,He-Man,2,12/04/2021,1,Reg
Q&A,Entertainment,"What famous company is credited with creating the fatter, happier image we associate with Santa today, for its 1931 ad campaign?",,,,,Coca Cola,1,01/15/2022,2,Reg
Q&A,Sports,How many teams are in the American National Football league?,,,,,32,1,1/28/2022,1,Reg
Q&A,Movies,What name preceeds Labyrinth in the title of a 2006 film?,,,,,Pan (s),1,1/28/2022,1,Reg
Q&A,Movies,Sean Penn made his feature film debut as a military cadet in this 1981film?,,,,,Taps,2,2/15/2022,1,Reg
Q&A,TV,In which US TV series did Kiefer Sutherland play the character of Jack Bauer?,,,,,24,1,1/27/2021,2,Reg
Q&A,Movies,What was the name of the fictional character that actor Christopher Lloyd played the Back to the Future trilogy?,,,,,Dr. Emmett Brown,1,7/22-26/2021,1,Reg
Q&A,Geography,"Officially opened in 1869, what artificial waterway connects the Mediterranean Sea to the Red Sea?",,,,,Suez Canal,2,7/22-26/2021,1,Reg
Q&A,TV,The Villians in which cartoon would have gotten away with it if it hadn’t been for those Meddling Kids,,,,,Scooby-Doo,1,7/22-26/2021,1,Reg
Q&A,Superheros,What superhero lives in Gotham?,,,,,Batman,1,7/22-26/2021,1,Reg
Q&A,Movies,Tom Hanks won his first Oscar for which 1993 film?,,,,,Philadelphia,2,7/22-26/2021,3,Reg
Q&A,TV,"Which unlikely 1980’s spokeman for beer often wore dark sunglasses, a blue t-shirt and hung out with beautiful women?",,,,,Spuds McKenzie,2,7/22-26/2021,1,Reg
Q&A,Celebrity,What Actress got married for the 7th time in 1991 on Michael Jackson's ranch?,,,,,Elizabeth Taylor,1,7/22-26/2021,1,Reg
Q&A,Geography,kevin costner plays a postapocalyptic survivor called the mariner in this movie,,,,,waterworld,1,7/22-26/2021,1,Reg
Q&A,Geography,What major river goes through Baghdad,,,,,Tigris,1,7/22-26/2021,1,Reg
Q&A,General,What is the original name of the Statue of Liberty?,,,,,Liberty Enlightening the World,2,7/22-26/2021,1,Reg
Q&A,TV,Madonna made her first national TV appearance in 1984 on what music and entertainment show?,,,,,AMERICAN BANDSTAND,2,7/22-26/2021,1,Reg
Q&A,Music,Who played the guitar solo on Michael Jackson’s hit song Beat It?,,,,,Eddie Van Halen,2,7/22-26/2021,1,Reg
Q&A,General,Who was the first Japanese car company to set up a plant in American in 1982?,,,,,Honda,2,7/22-26/2021,1,Reg
